Name,HSC,MPP1,MPP2,MPP3,MPP4
ENSMUST00000114000 (dp427) rank,67009,61291,62829,67634,70037
ENSMUST00000239019 (dp71) rank,23765,20124,24930,34388,33596
n,142526,142526,142526,142526,142526
Dp427 / Hprt [%],0.01,0.02,0.02,0.01,0.01
Dp427 / Gapdh [%],0.04,0.05,0.08,0.04,0.03
Dp71 / Hprt [%],0.82,0.83,0.46,0.26,0.28
Dp71 / Gapdh [%],2.33,2.62,2.19,0.88,0.96
